Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
2003-06-13,934.32,951.85,921.06,937.62,912.72,884.34,847.88,191290000
2003-06-20,937.39,963.47,934.78,940.47,921.91,896.14,849.97,193920000
2003-06-27,941.18,941.66,920.08,923.16,929.9,904.02,851.27,206220000
2003-07-04,924.35,943.08,910.83,931.93,933.79,912.1,853.55,150830000
2003-07-11,933.12,958.02,931.46,945.92,935.82,918.82,857.13,191150000
2003-07-18,945.92,962.52,926.48,939.52,936.2,924.46,860.18,230640000
2003-07-25,940.23,946.87,923.4,945.45,937.2,929.55,864.21,206960000
2003-08-01,946.64,952.33,926.72,929.09,938.38,934.14,866.49,224870000
2003-08-08,928.85,934.3,908.93,927.67,937.53,935.66,868.2,239390000
2003-08-15,927.67,942.37,922.69,939.52,936.25,936.04,871.04,162990000
2003-08-22,939.05,960.15,938.81,941.42,936.63,936.42,875.3,182220000
2003-08-29,940.71,957.31,931.93,955.88,938.72,937.96,880.21,143720000
2003-09-05,956.36,976.75,952.8,969.64,946.83,942.6,886.35,155850000
2003-09-12,969.16,981.49,954.93,965.61,954.42,945.97,892.15,194950000
2003-09-19,965.85,986.99,960.86,981.29,962.77,949.51,898.14,156030000
2003-09-26,980.1,980.1,944.24,944.71,963.43,950.03,903.12,207040000
2003-10-03,945.43,986.04,938.3,977.01,967.65,953.18,909.56,266840000
2003-10-10,975.59,994.82,972.97,988.41,971.41,959.12,916.21,156620000
2003-10-17,988.41,1002.9,982.95,985.8,975.44,964.93,920.86,167830000
2003-10-24,985.56,996.96,965.38,978.44,974.87,968.82,926.22,186860000
2003-10-31,976.77,1001.71,975.82,996.96,985.32,974.38,931.71,163440000
2003-11-07,994.82,1011.21,991.02,997.91,989.5,978.58,937.56,162850000
2003-11-14,998.62,1010.97,989.36,996.49,991.12,981.26,942.63,159300000
2003-11-21,995.54,996.01,978.67,984.37,990.83,983.14,947.07,199120000
2003-11-28,983.9,1007.17,983.42,1004.8,996.11,985.49,951.27,110140000
2003-12-05,1005.99,1020.47,1002.9,1009.07,998.53,991.93,955.47,178140000
2003-12-12,1007.89,1020.96,1000.29,1020.01,1002.95,996.23,959.65,192680000
2003-12-19,1033.33,1036.89,1013.35,1032.38,1010.13,1000.62,964.63,166060000
2003-12-26,1029.52,1043.31,1027.62,1039.98,1021.25,1006.04,968.88,68760000
2004-01-02,1039.98,1063.28,1039.51,1054.73,1031.23,1013.67,972.84,111720000
2004-01-09,1054.49,1075.65,1054.49,1065.19,1042.46,1020.49,977.09,169800000
2004-01-16,1064.71,1083.26,1059.24,1082.31,1054.92,1028.93,981.82,188370000
2004-01-23,1082.07,1093.01,1077.31,1084.45,1065.33,1037.73,987.2,140510000
2004-01-30,1084.21,1098.47,1065.9,1074.7,1072.27,1046.76,991.96,209860000
2004-02-06,1074.94,1086.35,1067.09,1083.26,1077.98,1054.61,996.54,176880000
2004-02-13,1083.49,1102.04,1081.83,1089.68,1082.88,1062.67,1001.54,168350000
2004-02-20,1089.44,1102.04,1082.07,1087.77,1083.97,1069.44,1006.28,150570000
2004-02-27,1088.01,1095.62,1077.79,1088.49,1084.78,1075.05,1011.6,180520000
2004-03-05,1088.25,1106.8,1087.3,1101.09,1090.06,1081.16,1017.38,180160000
